docente,linha
ALDO VON WANGENHEIM,Inteligência Computacional
ALEX SANDRO ROSCHILDT PINTO,Computação Distribuída
ANTONIO AUGUSTO FROHLICH,Sistemas Embarcados
ANTONIO AUGUSTO FROHLICH,Computação Distribuída
ANTONIO AUGUSTO FROHLICH,Redes de Computadores
CARINA FRIEDRICH DORNELES,Banco de Dados
CARLA MERKLE WESTPHALL,Redes de Computadores
CARLA MERKLE WESTPHALL,Segurança
CARLOS BECKER WESTPHALL,Redes de Computadores
CHRISTIANE VON WANGENHEIM,Engenharia de Software
CRISTINA MEINHARDT,Sistemas Embarcados
DOUGLAS DYLLON JERONIMO DE MACEDO,Computação Distribuída
FABIANE BARRETO VAVASSORI BENITTI,Engenharia de Software
FRANK AUGUSTO SIQUEIRA,Computação Distribuída
JEAN EVERSON MARTINA,Segurança
JEAN EVERSON MARTINA,Engenharia de Software
JEAN EVERSON MARTINA,Redes de Computadores
JOSE LUIS ALMADA GUNTZEL,Sistemas Embarcados
LUCIANA DE OLIVEIRA RECH,Computação Distribuída
LUIZ CLAUDIO VILLAR DOS SANTOS,Sistemas Embarcados
MARCIO BASTOS CASTRO,Computação Distribuída
MARIO ANTONIO RIBEIRO DANTAS,Computação Distribuída
MARIO ANTONIO RIBEIRO DANTAS,Redes de Computadores
MAURO ROISENBERG,Inteligência Computacional
PATRICIA DELLA MEA PLENTZ,Computação Distribuída
PATRICIA DELLA MEA PLENTZ,Inteligência Computacional
PATRICIA VILAIN,Engenharia de Software
RAFAEL DE SANTIAGO,Inteligência Computacional
RENATO FILETO,Banco de Dados
RICARDO AZAMBUJA SILVEIRA,Inteligência Computacional
RICARDO FELIPE CUSTODIO,Segurança
ROBERTO WILLRICH,Computação Distribuída
ROBERTO WILLRICH,Banco de Dados
RONALDO DOS SANTOS MELLO,Banco de Dados
VANIA BOGORNY,Banco de Dados
VANIA BOGORNY,Inteligência Computacional
